short_name,sofifa_id,long_name,player_positions,overall,potential,age,dob,height_cm,weight_kg,nationality_id,nationality_name,nation_jersey_number,preferred_foot,skill_moves,international_reputation,shooting,passing,dribbling,defending,physic
L. Bronze,227246,Lucia Roberta Tough Bronze,"RB, CM",92,92,29,28/10/91,171,67,14,England,2,Right,3,5,61,70,81,89,84
W. Renard,227316,Wéndèleine Thérèse Renard,CB,92,92,30,20/07/90,187,70,18,France,3,Right,2,5,70,62,73,91,88
V. Miedema,233746,Vivianne Miedema,ST,92,93,24,15/07/96,178,65,34,Netherlands,9,Right,4,5,93,75,88,32,79
S. Kerr,227125,Samantha May Kerr,"ST, LW",91,91,27,10/09/93,167,55,195,Australia,20,Right,4,5,90,72,91,39,80
A. Morgan,226301,Alexandra Morgan Carrasco,ST,90,90,31,02/07/89,170,62,95,United States,13,Left,4,5,88,74,86,43,71
D. Marozsán,226308,Dzsenifer Marozsán,"CAM, LM, CM",90,90,29,18/04/92,171,67,21,Germany,10,Right,5,5,86,90,89,55,76
M. Rapinoe,226328,Megan Anna Rapinoe,"LW, LM",90,90,35,05/07/85,170,60,95,United States,15,Right,4,5,87,90,89,49,66
T. Heath,226330,Tobin Powell Heath,"RW, CAM, LW",90,90,33,29/05/88,168,59,95,United States,17,Right,5,4,79,89,93,36,64
C. Hansen,227102,Caroline Graham Hansen,"RM, CAM, ST",90,91,26,18/02/95,178,66,36,Norway,10,Right,4,4,83,86,89,45,75
A. Henry,227318,Amandine Chantal Henry,"CDM, CM",90,90,31,28/09/89,171,64,18,France,6,Right,4,5,78,79,80,88,88
J. Ertz,226333,Julie Beth Ertz,"CDM, CB",89,89,29,06/04/92,170,59,95,United States,8,Right,3,4,66,80,75,87,85
C. Sinclair,226359,Christine Margaret Sinclair,"ST, CAM",89,89,38,12/06/83,175,67,70,Canada,12,Right,4,4,89,85,85,37,80
E. Le Sommer,227331,Eugénie Anne Claudine Le Sommer,"ST, LW, CAM",89,89,32,18/05/89,161,58,18,France,9,Right,4,5,91,74,84,41,70
L. Martens,233748,Lieke Martens,"LW, CAM",89,89,28,16/12/92,170,66,34,Netherlands,11,Right,5,5,87,86,89,41,72
B. Sauerbrunn,226177,Rebecca Elizabeth Sauerbrunn,"CB, RB",88,88,36,06/06/85,170,64,95,United States,4,Right,2,4,37,62,63,88,85
A. Popp,226302,Alexandra Popp,"ST, LM",88,88,30,06/04/91,174,65,21,Germany,11,Right,4,4,87,77,81,48,85
F. Kirby,227255,Francesca Kirby,"CAM, ST, CM",88,88,28,29/06/93,157,53,14,England,10,Right,4,4,88,76,88,50,62
Jenni Hermoso,227192,Jennifer Hermoso Fuentes,"ST, CAM, CF",87,87,31,09/05/90,174,59,45,Spain,10,Left,4,4,90,80,85,47,71
S. Däbritz,227327,Sara Ilonka Däbritz,"CM, LM, CAM",87,89,26,15/02/95,171,59,21,Germany,23,Left,4,3,79,83,87,69,72
A. Majri,227350,Amel Majri,"LM, LB",87,87,28,25/01/93,164,54,18,France,10,Left,4,3,69,85,87,85,80
L. Horan,231432,Lindsey Michelle Horan,"CAM, CM",87,88,27,26/05/94,175,67,95,United States,9,Right,4,3,86,85,83,59,76
K. Little,245872,Kim Alison Little,"CAM, CM",87,87,31,29/06/90,162,58,42,Scotland,8,Right,4,3,84,86,86,43,69
