Nombre,Liga,Ofensiva,Defensiva,General
River Plate,Argentina Primera Division,1.56,0.98,59.54
Talleres de Córdoba,Argentina Primera Division,1.25,1.17,47.34
Argentinos Juniors,Argentina Primera Division,1.22,1.15,47.01
Boca Juniors,Argentina Primera Division,1.19,1.16,46.18
San Lorenzo,Argentina Primera Division,1,1,45
Estudiantes,Argentina Primera Division,1.15,1.17,44.9
Defensa y Justicia,Argentina Primera Division,1.17,1.24,43.75
Tigre,Argentina Primera Division,1.21,1.29,43.5
Velez Sarsfield,Argentina Primera Division,1.03,1.11,42.9
Racing Club,Argentina Primera Division,1.19,1.38,41.1
Lanus,Argentina Primera Division,1.15,1.36,40.49
Huracán,Argentina Primera Division,0.98,1.23,38.96
Colon Santa Fe,Argentina Primera Division,1.08,1.42,37.66
Rosario Central,Argentina Primera Division,1.08,1.43,37.3
CA Independiente,Argentina Primera Division,0.96,1.3,37.07
Newell's Old Boys,Argentina Primera Division,0.83,1.17,36.15
Banfield,Argentina Primera Division,0.88,1.3,34.79
Sarmiento,Argentina Primera Division,1.02,1.49,34.73
Atlético Tucumán,Argentina Primera Division,0.92,1.39,34.17
Godoy Cruz,Argentina Primera Division,0.95,1.43,34.07
Belgrano Cordoba,Argentina Primera Division,0.93,1.41,33.87
Platense,Argentina Primera Division,0.86,1.33,33.6
Gimnasia La Plata,Argentina Primera Division,0.93,1.44,33.4
Instituto,Argentina Primera Division,1.01,1.55,33.27
Union Santa Fe,Argentina Primera Division,0.89,1.45,31.81
Barracas Central,Argentina Primera Division,0.85,1.48,30.49
Central Córdoba Santiago del Estero,Argentina Primera Division,0.83,1.5,29.54
Arsenal Sarandi,Argentina Primera Division,0.87,1.6,28.58
Melbourne City,Australian A-League,1.39,1.89,35.78
Central Coast Mariners,Australian A-League,1.15,2.12,26.77
Sydney FC,Australian A-League,1.1,2.06,26.57
Western Sydney FC,Australian A-League,0.99,1.95,25.94
Adelaide United,Australian A-League,1.12,2.3,23.51
Melbourne Victory,Australian A-League,0.77,1.9,21.65
Western United,Australian A-League,0.77,2.3,16.55
Wellington Phoenix,Australian A-League,0.79,2.36,16.39
Brisbane Roar,Australian A-League,0.6,2.07,15.7
Newcastle Jets,Australian A-League,0.68,2.28,15.09
Perth Glory,Australian A-League,0.58,2.3,12.88
Macarthur FC,Australian A-League,0.63,2.55,11.67
FC Salzburg,Austrian T-Mobile Bundesliga,2.09,0.81,73.54
SK Sturm Graz,Austrian T-Mobile Bundesliga,1.58,1.11,56.69
LASK Linz,Austrian T-Mobile Bundesliga,1.64,1.34,52.51
FK Austria Vienna,Austrian T-Mobile Bundesliga,1.68,1.53,49.41
Rapid Vienna,Austrian T-Mobile Bundesliga,1.55,1.41,49.22
WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.38,1.63,40.69
Wolfsberger AC,Austrian T-Mobile Bundesliga,1.42,1.68,40.5
Austria Lustenau,Austrian T-Mobile Bundesliga,1.21,1.67,35.68
